127.0.0.1 - - [26/Apr/2021:18:47:16 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:17 +0530] "GET /Project1/ HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:28 +0530] "GET /Project1/ HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:28 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:51 +0530] "GET /Project1/tvhb.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:53 +0530] "GET /Project1/tvhb.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:53 +0530] "GET /Project1/tvhb.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:47:54 +0530] "GET /Project1/tvhb.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:48:07 +0530] "GET /Project1/tvhb.html HTTP/1.1" 200 6570
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:48:07 +0530] "GET /Project1/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:55:01 +0530] "GET /Project1/tvhb.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:55:01 +0530] "GET /Project1/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:55:06 +0530] "GET /Project1/ HTTP/1.1" 200 5360
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:56:05 +0530] "GET /Project1/ HTTP/1.1" 200 10956
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:56:34 +0530] "GET /Project1/ HTTP/1.1" 200 10965
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:57:18 +0530] "GET /Project1/tvhb.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:57:18 +0530] "GET /Project1/style.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:58:28 +0530] "GET /Project1/ HTTP/1.1" 200 11174
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:58:52 +0530] "GET /Project1/ HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:59:00 +0530] "GET /Project1/ HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [26/Apr/2021:18:59:29 +0530] "GET /Project1/ HTTP/1.1" 200 11900
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:00:21 +0530] "GET /Project1/ HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:04:12 +0530] "GET /Project1/ HTTP/1.1" 200 11850
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:04:53 +0530] "GET /Project1/ HTTP/1.1" 200 11850
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:05:19 +0530] "GET /Project1/ HTTP/1.1" 200 11850
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:08:14 +0530] "GET /Project1/ HTTP/1.1" 200 12685
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:08:47 +0530] "GET /Project1/ HTTP/1.1" 200 12685
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:10:21 +0530] "GET /Project1/ HTTP/1.1" 200 12700
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:10:22 +0530] "GET /Project1/ HTTP/1.1" 200 12700
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:12:05 +0530] "GET /Project1/ HTTP/1.1" 200 12696
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:12:32 +0530] "GET /Project1/ HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:12:53 +0530] "GET /Project1/ HTTP/1.1" 200 12667
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:13:47 +0530] "GET /Project1/ HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:13:58 +0530] "GET /Project1/ HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:14:01 +0530] "GET /Project1/ HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:15:13 +0530] "GET /Project1/ HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:24:55 +0530] "GET /Project1/ HTTP/1.1" 200 12517
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:24:56 +0530] "GET /Project1/ HTTP/1.1" 200 12517
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:26:30 +0530] "GET /Project1/ HTTP/1.1" 200 12143
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:21 +0530] "GET /Project1/ HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:28 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 7864
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:28 +0530] "GET /Project1/icon.png HTTP/1.1" 200 17409
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:33 +0530] "POST /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:53 +0530] "POST /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:55 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:31:57 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:06 +0530] "GET /Project1/ HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:09 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:10 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:20 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:40 +0530] "GET /Project1/home.jsp HTTP/1.1" 200 7864
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:46 +0530] "GET /Project1/login.jsp HTTP/1.1" 200 8917
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:32:58 +0530] "GET /Project1/end.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:37:30 +0530] "GET /Project1/ HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:37:33 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 7920
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:37:35 +0530] "POST /Project1/login.jsp HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:41:28 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 7920
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:41:33 +0530] "POST /Project1/login.jsp HTTP/1.1" 200 8854
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:41:38 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 7920
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:41:55 +0530] "GET /Project1/ HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:52:40 +0530] "GET /Project1/tvhb.html HTTP/1.1" 200 14671
0:0:0:0:0:0:0:1 - - [26/Apr/2021:19:52:59 +0530] "GET /Project1/tvhb.html HTTP/1.1" 200 14568
0:0:0:0:0:0:0:1 - - [26/Apr/2021:20:00:18 +0530] "GET /Project1/tvhb.html HTTP/1.1" 200 14610
0:0:0:0:0:0:0:1 - - [26/Apr/2021:20:05:48 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:32:51 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:32:55 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:33:01 +0530] "GET /Project1/validateLogin.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:35:20 +0530] "GET /Project1/ HTTP/1.1" 200 8633
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:35:24 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:37:50 +0530] "GET /Project1/ HTTP/1.1" 200 8579
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:37:54 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:38:54 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 8110
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:39:03 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:40:12 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8141
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:40:40 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8148
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:43:02 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8147
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:43:27 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8175
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:45:41 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8175
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:45:58 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8175
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:48:38 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8395
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:49:33 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:49:58 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:50:34 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8407
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:54:38 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8459
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:54:42 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8459
0:0:0:0:0:0:0:1 - - [26/Apr/2021:21:54:51 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 8459
