127.0.0.1 - - [24/May/2021:18:16:40 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [24/May/2021:18:16:41 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [24/May/2021:18:16:54 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [24/May/2021:18:16:55 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:00 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16062
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:01 +0530] "GET /Project1/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:11 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17767
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:21 +0530] "POST /Project1/add1.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:43 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18011
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:49 +0530] "POST /Project1/upd1.jsp HTTP/1.1" 200 9187
0:0:0:0:0:0:0:1 - - [24/May/2021:18:17:56 +0530] "POST /Project1/upd1.jsp HTTP/1.1" 200 9241
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:02 +0530] "POST /Project1/upd1.jsp HTTP/1.1" 200 9241
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:05 +0530] "POST /Project1/upd1.jsp HTTP/1.1" 200 7934
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:07 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17818
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:14 +0530] "POST /Project1/add2.jsp HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:28 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18010
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:32 +0530] "POST /Project1/upd2.jsp HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:38 +0530] "POST /Project1/upd2.jsp HTTP/1.1" 200 9252
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:43 +0530] "POST /Project1/upd2.jsp HTTP/1.1" 200 9250
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:46 +0530] "POST /Project1/upd2.jsp HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [24/May/2021:18:18:48 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17814
0:0:0:0:0:0:0:1 - - [24/May/2021:18:25:52 +0530] "GET /Project1/home.jsp HTTP/1.1" 200 17765
0:0:0:0:0:0:0:1 - - [24/May/2021:18:25:56 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17765
0:0:0:0:0:0:0:1 - - [24/May/2021:18:26:01 +0530] "POST /Project1/add1.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [24/May/2021:18:26:07 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17813
0:0:0:0:0:0:0:1 - - [24/May/2021:18:26:10 +0530] "POST /Project1/add2.jsp HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [24/May/2021:18:26:18 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17813
0:0:0:0:0:0:0:1 - - [24/May/2021:18:28:19 +0530] "POST /Project1/add3.jsp HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [24/May/2021:18:28:38 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17813
0:0:0:0:0:0:0:1 - - [24/May/2021:18:28:43 +0530] "POST /Project1/add3.jsp HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [24/May/2021:18:29:44 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18016
0:0:0:0:0:0:0:1 - - [24/May/2021:18:29:48 +0530] "POST /Project1/add3.jsp HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [24/May/2021:18:31:17 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18016
0:0:0:0:0:0:0:1 - - [24/May/2021:18:31:24 +0530] "POST /Project1/add2.jsp HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [24/May/2021:18:32:38 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18016
0:0:0:0:0:0:0:1 - - [24/May/2021:18:32:44 +0530] "POST /Project1/add2.jsp HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [24/May/2021:18:32:51 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18016
0:0:0:0:0:0:0:1 - - [24/May/2021:18:32:54 +0530] "POST /Project1/add3.jsp HTTP/1.1" 200 5991
0:0:0:0:0:0:0:1 - - [24/May/2021:18:33:04 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18016
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:20 +0530] "POST /Project1/add4.jsp HTTP/1.1" 200 5258
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:31 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18168
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:37 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 8452
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:43 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 8509
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:44 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [24/May/2021:18:42:46 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:03 +0530] "POST /Project1/add4.jsp HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:14 +0530] "GET /Project1/add4.jsp HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:16 +0530] "GET /Project1/add4.jsp HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:30 +0530] "POST /Project1/home.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:32 +0530] "GET /Project1/home.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:37 +0530] "GET /Project1/home.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:44 +0530] "GET /Project1/ HTTP/1.1" 200 8579
0:0:0:0:0:0:0:1 - - [24/May/2021:19:53:47 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16062
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:08 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17968
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:12 +0530] "POST /Project1/add4.jsp HTTP/1.1" 200 5584
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:37 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18321
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:46 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 9559
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:51 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:54 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 8504
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:55 +0530] "POST /Project1/upd4.jsp HTTP/1.1" 200 7378
0:0:0:0:0:0:0:1 - - [24/May/2021:19:54:57 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18014
0:0:0:0:0:0:0:1 - - [24/May/2021:22:04:33 +0530] "POST /Project1/add4.jsp HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [24/May/2021:22:04:39 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [24/May/2021:22:04:42 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16062
0:0:0:0:0:0:0:1 - - [24/May/2021:22:04:49 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 17965
